Result,Depth,Expanded Nodes,Max Fringe Size
A* found a path of 17 moves,17,1427,4491
A* found a path of 5 moves,5,5,18
A* found a path of 5 moves,5,5,18
A* found a path of 15 moves,15,95,295
A* found a path of 13 moves,13,85,280
A* found a path of 9 moves,9,13,43
A* found a path of 7 moves,7,7,22
A* found a path of 7 moves,7,12,39
A* found a path of 17 moves,17,204,640
A* found a path of 7 moves,7,18,59
A* found a path of 9 moves,9,9,31
A* found a path of 17 moves,17,144,424
A* found a path of 7 moves,7,13,41
A* found a path of 1 moves,1,1,4
A* found a path of 9 moves,9,9,29
A* found a path of 3 moves,3,3,12
A* found a path of 5 moves,5,5,18
A* found a path of 7 moves,7,7,22
A* found a path of 17 moves,17,792,2490
A* found a path of 15 moves,15,282,867
A* found a path of 7 moves,7,11,39
A* found a path of 5 moves,5,5,16
A* found a path of 5 moves,5,5,18
A* found a path of 11 moves,11,65,213
A* found a path of 5 moves,5,5,20
A* found a path of 9 moves,9,25,79
A* found a path of 11 moves,11,49,149
A* found a path of 11 moves,11,44,134
A* found a path of 13 moves,13,170,543
A* found a path of 9 moves,9,26,85
A* found a path of 5 moves,5,5,16
A* found a path of 15 moves,15,459,1468
A* found a path of 5 moves,5,5,19
A* found a path of 11 moves,11,26,85
A* found a path of 9 moves,9,9,31
A* found a path of 5 moves,5,5,18
A* found a path of 7 moves,7,14,48
A* found a path of 13 moves,13,186,581
A* found a path of 13 moves,13,103,327
A* found a path of 13 moves,13,64,195
A* found a path of 9 moves,9,22,73
A* found a path of 15 moves,15,391,1267
A* found a path of 7 moves,7,18,59
A* found a path of 9 moves,9,28,90
A* found a path of 9 moves,9,21,69
A* found a path of 17 moves,17,264,804
A* found a path of 15 moves,15,97,297
A* found a path of 15 moves,15,116,369
A* found a path of 17 moves,17,120,359
A* found a path of 13 moves,13,206,664
A* found a path of 13 moves,13,102,324
A* found a path of 1 moves,1,1,4
A* found a path of 7 moves,7,13,47
A* found a path of 9 moves,9,20,62
A* found a path of 13 moves,13,48,143
A* found a path of 11 moves,11,17,51
A* found a path of 5 moves,5,5,16
A* found a path of 5 moves,5,5,17
A* found a path of 7 moves,7,7,24
A* found a path of 11 moves,11,11,35
A* found a path of 9 moves,9,16,53
A* found a path of 15 moves,15,48,140
A* found a path of 3 moves,3,3,11
A* found a path of 13 moves,13,63,191
A* found a path of 9 moves,9,16,54
A* found a path of 11 moves,11,48,152
A* found a path of 17 moves,17,590,1858
A* found a path of 7 moves,7,7,23
A* found a path of 11 moves,11,11,36
A* found a path of 9 moves,9,9,30
A* found a path of 13 moves,13,88,279
A* found a path of 7 moves,7,7,23
A* found a path of 11 moves,11,55,175
A* found a path of 13 moves,13,119,376
A* found a path of 13 moves,13,68,211
A* found a path of 3 moves,3,3,11
A* found a path of 9 moves,9,9,27
A* found a path of 13 moves,13,63,201
A* found a path of 9 moves,9,27,89
A* found a path of 17 moves,17,447,1400
A* found a path of 11 moves,11,37,120
